"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"1372","ASV8352","ITS133",133,1772,4,41,0,0.031,2.2,0.03304,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1","uncultured bacterium"
"1373","ASV8352","ITS305",305,1772,4,41,0,0.031,2.2,0.03304,1,"Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1","uncultured bacterium"
"1374","ASV8352","ITS624",624,1772,6,41,0,0.046,3.4,0.00532,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella_aquatica","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1","uncultured bacterium"
"1375","ASV8357","ITS750",750,1591,8,31,0,0.047,3.4,0.00878,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_caesiellus","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured bacterium","uncultured bacterium"
"1376","ASV8357","ITS888",888,1591,7,31,0,0.041,3,0.01656,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured bacterium","uncultured bacterium"
"1377","ASV8357","ITS169",169,1591,6,31,0,0.035,2.5,0.03082,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured bacterium","uncultured bacterium"
"1378","ASV8357","ITS675",675,1591,6,31,0,0.035,2.5,0.03082,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Nakazawaea","Nakazawaea_ishiwadae","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured bacterium","uncultured bacterium"
"1379","ASV8357","ITS498",498,1591,8,31,0,0.047,3.4,0.00878,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_melanoconidium","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured bacterium","uncultured bacterium"
"1380","ASV8357","ITS397",397,1591,6,31,0,0.035,2.5,0.03082,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured bacterium","uncultured bacterium"
"1381","ASV8357","ITS624",624,1591,6,31,0,0.035,2.5,0.03082,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella_aquatica","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured bacterium","uncultured bacterium"
