"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ITS286","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9764056","9b79d4d8ff420c4007bb2c559889310c"
"ITS287","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","464489e13b180c064a6ead21181be699"
"ITS288","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8721076","0fe4fd423cc60bf589e47b90c80b4511"
"ITS289","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8578512","1c8dbacc1fa43441304fe7792adf7928"
"ITS290","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9965336","2efb27f6393c382d6a9367d875f580f7"
"ITS291","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9705428","f1d56c48ecb8f28062aff35a82b96505"
"ITS292","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8825364","6b92cbff4cea88d14e418e26bb2c68dc"
"ITS293","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon","0.9967970","08468b191c0f2c1f2d9a51bc61a57411"
"ITS294","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8849139","ba441c87f44e7bdce5483efda19f5bb0"
"ITS295","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","9cefc3487776a0b08ecbac4977d596da"
"ITS296","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7257983","4d70687c47494edee66e923fe1c04cb9"
"ITS297","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella_luteola","0.9999946","736b7824c5d0a939967fd89a5d789136"
"ITS298","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9202173","54ea2ea68764005063b7a2aa9a180794"
"ITS299","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7029499","29c5f459e04ad43686a12d94fcf50410"
"ITS300","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9997358","5b83f4cb8b9c42f141dae2e035d866d4"
"ITS301","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7578611","5539f4d3e5fcba122656e7ca213c2c9c"
"ITS302","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7711008","ed057f107620ffe3ffb313bd51f4e0b5"
"ITS303","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9899168","bcadd349a9d3898c173c2472687cb5ee"
"ITS304","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","4632d9254de4e923b535b0d647605338"
"ITS305","Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","0.9258184","60dbf816f484d244eee59fbe59bb89e5"
"ITS306","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_domesticum","0.7171461","fc5333fa2e6d914b68cc827aa9813d25"
"ITS307","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon_debeurmannianum","0.7201263","8e2819288749891671a669356c35e4c5"
"ITS308","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","a343cc34bec1bdcef6178195288e0204"
"ITS309","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9783085","f6177c00cf11a3ea8b88dca876d5f2b0"
